,TypeCode,FreqCode,RefPeriodId,RefYear,RefMonth,Period,ReporterCode,ReporterISO,ReporterDesc,FlowCode,FlowDesc,PartnerCode,PartnerISO,PartnerDesc,Partner2Code,Partner2ISO,Partner2Desc,ClassificationCode,ClassificationSearchCode,IsOriginalClassification,CmdCode,CmdDesc,AggrLevel,IsLeaf,CustomsCode,CustomsDesc,MosCode,MotCode,MotDesc,QtyUnitCode,IsQtyEstimated,AltQtyUnitCode,IsAltQtyEstimated,IsNetWgtEstimated,IsGrossWgtEstimated,PrimaryValue,LegacyEstimationFlag,IsReported,IsAggregate
0,C,A,19990101,1999,52,1999,-2,-2,ALL,M,Import,858,URY,Uruguay,0,W00,World,GG,GG,False,11,"Bovine animals, live",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,False,-1,False,False,False,12254702.0,0,True,False
1,C,A,19990101,1999,52,1999,-2,-2,ALL,M,Import,858,URY,Uruguay,0,W00,World,GG,GG,False,111,"Bovine meat,frsh,chilled",4,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,False,-1,True,False,True,116464966.0,0,True,False
2,C,A,19990101,1999,52,1999,-2,-2,ALL,M,Import,858,URY,Uruguay,0,W00,World,GG,GG,False,1251,"Edible offal of bovine animals, fresh or chilled",5,True,C00,TOTAL CPC,0,0,TOTAL MOT,-1,False,-1,False,False,False,2400.0,0,True,False
3,C,A,19990101,1999,52,1999,-2,-2,ALL,M,Import,858,URY,Uruguay,0,W00,World,GG,GG,False,1252,"Edible offal of bovine animals, frozen",5,True,C00,TOTAL CPC,0,0,TOTAL MOT,-1,False,-1,True,False,True,16336472.0,0,True,False
4,C,A,19990101,1999,52,1999,-2,-2,ALL,M,Import,858,URY,Uruguay,0,W00,World,GG,GG,False,176,"Meat and offal (other than liver), of bovine animals, prepared or preserv",4,True,C00,TOTAL CPC,0,0,TOTAL MOT,-1,False,-1,True,False,True,20831804.0,0,True,False
5,C,A,19990101,1999,52,1999,-2,-2,ALL,M,Import,858,URY,Uruguay,0,W00,World,GG,GG,False,22,Milk and cream and milk products other than butter or cheese,3,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,False,-1,False,False,False,86229712.0,0,True,False
6,C,A,19990101,1999,52,1999,-2,-2,ALL,M,Import,858,URY,Uruguay,0,W00,World,GG,GG,False,41,"Wheat (including spelt) and meslin, unmilled",3,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,False,-1,False,False,False,19674541.0,0,True,False
7,C,A,19990101,1999,52,1999,-2,-2,ALL,M,Import,858,URY,Uruguay,0,W00,World,GG,GG,False,42,Rice,3,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,False,-1,False,False,False,200433066.0,0,True,False
8,C,A,19990101,1999,52,1999,-2,-2,ALL,M,Import,858,URY,Uruguay,0,W00,World,GG,GG,False,43,"Barley, unmilled",3,False,C00,TOTAL CPC,0,0,TOTAL MOT,-1,False,-1,False,False,False,3340000.0,0,True,False
9,C,A,19990101,1999,52,1999,-2,-2,ALL,M,Import,858,URY,Uruguay,0,W00,World,GG,GG,False,2222,Soya beans,4,True,C00,TOTAL CPC,0,0,TOTAL MOT,-1,False,-1,False,False,False,4588687.0,0,True,False
