Sección,División,Grupo,"Agrupación
/ Clase",Denominación,División,Grupo,"Agrupación
/ Clase"
C,0,0,0,Total de la industria manufacturera,100,100,100
C,10,0,0,Elaboración de productos alimenticios,38.21,0,0
C,10,101,0,Procesamiento y conservación de carne,0,11.18,0
C,10,101,1011,Matanza de ganado y otros animales (excepto aves) conservación y preparación de sus carnes,0,0,8.56
C,10,101,1012,Elaboración de fiambres y chacinados,0,0,1.87
C,10,101,1013,"Matanza, preparación y conservación de pollos y gallinas",0,0,0.74
C,10,102,0,"Procesamiento y conservación de pescados, crustáceos y moluscos",0,0.45,0
C,10,102,1020,"Procesamiento y conservación de pescados, crustáceos y moluscos",0,0,0.45
C,10,103,0,Procesamiento y conservación de frutas y vegetales,0,0.82,0
C,10,103,1030,Procesamiento y conservación de frutas y vegetales,0,0,0.82
C,10,104,0,Elaboración de aceites y grasas de origen vegetal y animal,0,0.96,0
C,10,104,1040,Elaboración de aceites y grasas de origen vegetal y animal,0,0,0.96
C,10,105,0,Elaboración de productos lácteos,0,5.65,0
C,10,105,1050,Elaboración de productos lácteos,0,0,5.65
C,10,106,0,"Elaboración de productos de molinería, almidones y productos derivados del almidón",0,3.19,0
C,10,106,106A,"Elaboración de harina de trigo y otros productos derivados de la molienda de trigo; elaboración de otros productos de molinería de cereales, excepto del arroz y trigo",0,0,0.96
C,10,106,106B,Elaboración de productos de molinería de arroz y elaboración de aceite de arroz,0,0,2.23
C,10,107,0,Elaboración de otros productos alimenticios,0,15.03,0
C,10,107,1071,Elaboración de productos de panadería,0,0,3.83
C,10,107,107A,"Elaboración de azúcar, cacao, chocolate y confites",0,0,0.35
C,10,107,1074,"Elaboración de pastas, fideos",0,0,0.95
C,10,107,107B,Elaboración de comidas y platos preparados; elaboración de otros productos alimenticios,0,0,9.91
C,10,108,0,Elaboración de alimentos preparados para animales,0,0.94,0
C,10,108,1080,Elaboración de alimentos preparados para animales,0,0,0.94
C,11,0,0,Elaboración de bebidas,6.56,0,0
C,11,110,,Elaboración de bebidas,0,6.56,0
C,11,110,110A,"Destilación, rectificación y mezcla de bebidas alcohólicas; elaboración de vinos",0,0,0.94
C,11,110,1103,Elaboración de bebidas malteadas y de malta,0,0,2.67
C,11,110,1104,Elaboración de bebidas no alcohólicas; producción de aguas minerales y otras aguas embotelladas,0,0,2.95
C,12,0,0,Elaboración de productos de tabaco,1.36,0,0
C,12,120,0,Elaboración de productos de tabaco,0,1.36,0
C,12,120,1200,Elaboración de productos de tabaco,0,0,1.36
C,13,0,0,Fabricación de productos textiles,1.22,0,0
