,act,emp,des
31/1/1991,57.69682726,52.47943596,9.042769857
28/2/1991,57.73548072,51.73255246,10.39729501
31/3/1991,56.66833167,51.22377622,9.607756721
30/4/1991,57.04550986,52.10513507,8.660409556
31/5/1991,55.81804473,51.26916311,8.149482215
30/6/1991,56.95134062,50.99304866,10.46207498
31/7/1991,57.21912157,52.39019655,8.439355386
31/8/1991,57.77279522,53.01444943,8.236308754
30/9/1991,57.573474,52.82592313,8.246073298
31/10/1991,57.84068136,52.83066132,8.661758337
30/11/1991,58.41246652,53.85926467,7.794914548
31/12/1991,58.02692905,52.90005179,8.835341365
31/1/1992,58.3868011,52.36021998,10.32182104
29/2/1992,56.54269972,50.80348944,10.1502233
31/3/1992,57.22530009,51.08494922,10.73013312
30/4/1992,56.91294806,51.67032431,9.211653813
31/5/1992,57.47484427,52.10828941,9.337223843
30/6/1992,56.05804111,51.94679565,7.333908542
31/7/1992,57.95989106,53.08244615,8.415207176
31/8/1992,57.12158809,51.96029777,9.035621199
30/9/1992,58.10344828,52.95566502,8.859686308
31/10/1992,57.08200213,52.28966986,8.395522388
30/11/1992,58.75,54.00510204,8.076422058
31/12/1992,57.81671159,53.20754717,7.972027972
31/1/1993,57.34396997,52.32285312,8.75613748
28/2/1993,56.77403492,51.95475781,8.48852317
31/3/1993,56.98257341,52.06493196,8.630079598
30/4/1993,56.84058668,51.93556143,8.629441624
31/5/1993,57.24845017,51.47830234,10.07913369
30/6/1993,57.43902439,52.80487805,8.067940552
31/7/1993,57.04208222,52.15276089,8.571428571
31/8/1993,56.60744707,51.98345096,8.168529665
30/9/1993,55.90876001,51.37102645,8.116319444
31/10/1993,55.27980535,51.77615572,6.338028169
30/11/1993,55.75637534,51.25030948,8.081705151
31/12/1993,56.80738786,52.37467018,7.80306549
31/1/1994,55.28056849,50.67385445,8.333333333
28/2/1994,56.76652893,51.78202479,8.780709736
31/3/1994,56.78132678,52.40786241,7.702293379
30/4/1994,58.19927971,53.22929172,8.53960396
31/5/1994,58.92857143,53.28571429,9.575757576
30/6/1994,58.9112426,54.27218935,7.874648453
31/7/1994,58.10123517,52.31290869,9.962484368
31/8/1994,58.05608365,51.97243346,10.47891936
30/9/1994,57.12893005,51.76699976,9.385665529
31/10/1994,59.61076406,54.01249399,9.391374446
30/11/1994,60.50179211,54.40860215,10.07109005
31/12/1994,59.48780488,53.73170732,9.676096761
31/1/1995,59.4409024,53.35948995,10.2310231
28/2/1995,59.75028377,53.64358683,10.22036474
31/3/1995,58.07147997,52.38666347,9.789343247
30/4/1995,58.94785206,53.13576844,9.859703819
31/5/1995,59.21207832,53.62113706,9.442231076
30/6/1995,59.23809524,53.66666667,9.405144695
31/7/1995,57.56564308,51.66889186,10.24352532
31/8/1995,58.99464743,53.29299511,9.66469428
30/9/1995,59.87394958,53.59477124,10.48732943
31/10/1995,59.37717871,52.75389263,11.15459883
30/11/1995,57.98651476,51.42990002,11.30713713
31/12/1995,59.97157745,53.26859308,11.17693523
31/1/1996,57.01652316,50.45380498,11.51020408
29/2/1996,58.73649601,52.04321278,11.39544182
31/3/1996,58.95631068,52.30582524,11.28036229
30/4/1996,58.05094648,50.94648282,12.23832528
31/5/1996,56.27149736,49.36941069,12.26568867
30/6/1996,57.89102865,50.23485204,13.22515213
31/7/1996,57.98105798,50.88935089,12.2310757
31/8/1996,58.25426945,51.30455408,11.92996743
30/9/1996,57.53710575,50.74211503,11.80975413
31/10/1996,59.28853755,52.54591955,11.37254902
30/11/1996,58.19972515,50.93907467,12.47540338
31/12/1996,60.06155303,53.40909091,11.0760741
31/1/1997,57.66391211,50.69969809,12.07724861
28/2/1997,55.57738265,49.01830884,11.80169612
31/3/1997,57.51059659,51.19819133,10.97607336
30/4/1997,57.24233601,50.77297873,11.30170034
31/5/1997,57.32191704,50.41310839,12.05264758
30/6/1997,57.42087678,50.25892878,12.47272492
31/7/1997,56.12683479,49.77190235,11.32244935
31/8/1997,58.71076778,51.44055647,12.38309698
30/9/1997,58.14650777,51.08161918,12.15015116
31/10/1997,57.68722808,51.92738631,9.98460485
30/11/1997,59.77802336,53.50384563,10.49579324
31/12/1997,58.00776568,52.00900494,10.34130633
31/1/1998,59.63875398,53.82514403,9.748040611
28/2/1998,60.98697892,55.27468398,9.366417298
31/3/1998,60.04959666,53.49876773,10.90903069
30/4/1998,61.64363728,55.68916415,9.659509716
31/5/1998,60.38072258,54.1769364,10.27444839
30/6/1998,60.02602025,54.37076486,9.421339896
31/7/1998,61.31858731,54.76607297,10.68601646
31/8/1998,60.58362782,54.73245089,9.658016753
30/9/1998,60.03027072,53.85593821,10.2853651
31/10/1998,58.77076446,52.88791382,10.00982494
30/11/1998,61.12955422,54.38958973,11.02570529
31/12/1998,59.9106903,53.98378849,9.892895212
31/1/1999,58.83986856,52.21428582,11.26036291
28/2/1999,59.12014079,52.4193355,11.33421742
31/3/1999,59.08135862,52.58631467,10.99338964
30/4/1999,59.62452154,53.07288893,10.98815125
31/5/1999,59.66367886,51.89991068,13.01255357
30/6/1999,58.50418892,53.09213499,9.250711843
31/7/1999,59.25373022,53.00536066,10.54510752
31/8/1999,59.25321292,52.36098393,11.63182324
30/9/1999,59.93101002,52.79602658,11.9053282
31/10/1999,58.85218934,52.15511818,11.37947668
30/11/1999,58.52694768,51.05747026,12.76245852
31/12/1999,60.72715633,54.11482731,10.88858663
31/1/2000,60.47131331,53.27362665,11.90264651
29/2/2000,61.88471483,54.52057584,11.89977042
31/3/2000,59.89652442,52.60800245,12.16852236
30/4/2000,59.34219604,51.50808108,13.20159259
31/5/2000,57.8963078,48.80980119,15.69444919
30/6/2000,58.07995374,49.88312655,14.11300572
31/7/2000,59.15226247,51.99257072,12.10383416
31/8/2000,60.49839714,51.06864871,15.58677399
30/9/2000,59.63508951,51.4053621,13.80014262
31/10/2000,57.9195557,49.54310108,14.46222182
30/11/2000,61.15591764,52.06830752,14.8597396
